date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180308,2018-03-08 00:00:00,4,8,67,Thursday,Thu,Y,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180309,2018-03-09 00:00:00,5,9,68,Friday,Fri,Y,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180310,2018-03-10 00:00:00,6,10,69,Saturday,Sat,N,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180311,2018-03-11 00:00:00,7,11,70,Sunday,Sun,N,10,10,2018-03-05 00:00:00,20180305,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180312,2018-03-12 00:00:00,1,12,71,Monday,Mon,Y,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180313,2018-03-13 00:00:00,2,13,72,Tuesday,Tue,Y,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180314,2018-03-14 00:00:00,3,14,73,Wednesday,Wed,Y,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180315,2018-03-15 00:00:00,4,15,74,Thursday,Thu,Y,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180316,2018-03-16 00:00:00,5,16,75,Friday,Fri,Y,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180317,2018-03-17 00:00:00,6,17,76,Saturday,Sat,N,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180318,2018-03-18 00:00:00,7,18,77,Sunday,Sun,N,11,11,2018-03-12 00:00:00,20180312,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180319,2018-03-19 00:00:00,1,19,78,Monday,Mon,Y,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180320,2018-03-20 00:00:00,2,20,79,Tuesday,Tue,Y,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180321,2018-03-21 00:00:00,3,21,80,Wednesday,Wed,Y,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180322,2018-03-22 00:00:00,4,22,81,Thursday,Thu,Y,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180323,2018-03-23 00:00:00,5,23,82,Friday,Fri,Y,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180324,2018-03-24 00:00:00,6,24,83,Saturday,Sat,N,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180325,2018-03-25 00:00:00,7,25,84,Sunday,Sun,N,12,12,2018-03-19 00:00:00,20180319,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180326,2018-03-26 00:00:00,1,26,85,Monday,Mon,Y,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,N
